title,abstract,section
Brexit Nightmare: 17-Mile Traffic Jams at the Dover Border,"If Britain leaves the E.U.’s customs union, it will have to conduct time-consuming border checks that could cost businesses $25 billion a year.",World
Trump Pledge to Halt Military Exercises Surprises Pentagon and Seoul,"Officials, experts and allies warned that Mr. Trump’s promise to end military exercises on the Korean Peninsula could hurt combat readiness.",World
Trump Pledge to Halt Military Exercises Surprises Pentagon and Seoul,"Officials, experts and allies warned that Mr. Trump’s promise to end military exercises on the Korean Peninsula could hurt combat readiness.",World
One Family’s Toll on a Cruel Day: 7 Children With Amputated Legs,"A leftover rocket killed 4 and maimed seven young members of an extended family in eastern Afghanistan. “I wanted to cry,” says the doctor in charge of treating them.",World
U.S. Cites ‘Real Progress’ Toward a Summit Meeting With Kim Jong-un,"President Trump has not yet agreed to a new meeting with the North Korean leader, but he will receive a delegation from Pyongyang on Friday in Washington.",World
Italy’s Populist Parties Win Approval to Form Government,"The arrangement would put Europe’s fourth largest economy into the hands of parties deeply antagonistic to the European Union, its currency and illegal migrants.",World
Australia’s Immigration Solution: Small-Town Living,How rural Australia opened itself to the world and became a model of integration and revival.,World
How a 4-Hour Battle Between Russian Mercenaries and U.S. Commandos Unfolded in Syria,Interviews and newly obtained documents provide the Pentagon’s first public on-the-ground accounting of one of the bloodiest battles the military has faced in Syria since deploying to fight ISIS.,World
"In Advance of Cease-Fires, Bombings in Afghanistan Kill at Least 18","The government and the Taliban have declared cease-fires, but ISIS has not. Officials blamed it for at least one bombing.",World
"In Advance of Cease-Fires, Bombings in Afghanistan Kill at Least 18","The government and the Taliban have declared cease-fires, but ISIS has not. Officials blamed it for at least one bombing.",World
"Brother-in-Law of Spain’s King Must Go to Prison, Court Rules","Iñaki Urdangarin — husband of Princess Cristina, a sister of Felipe VI — lost his appeal in a fraud case that has rocked the country’s monarchy.",World
"Brother-in-Law of Spain’s King Must Go to Prison, Court Rules","Iñaki Urdangarin — husband of Princess Cristina, a sister of Felipe VI — lost his appeal in a fraud case that has rocked the country’s monarchy.",World
Myanmar and U.N. Agree to Aim for Repatriation of Rohingya,"Myanmar’s government signed an agreement with the United Nations, but few expect the Rohingya, a Muslim ethnic minority forced to flee Myanmar, to go home anytime soon.",World
"He Fled the Ash That Buried Pompeii, Only to Be Crushed by a Rock","Archaeologists in Italy found the skeleton of a man protruding from a huge block of stone, almost 2,000 years after he died.",World
Turkey Hands Life Sentences to 104 People Over Coup Attempt,Two crucial witnesses turned against fellow defendants and revealed details of the failed effort to overthrow President Recep Tayyip Erdogan in 2016.,World
North Korea’s Big Moment Is Upended by Trump,"The event was captured by foreign journalists, but North Korea did not invite any independent nuclear monitors to verify the dismantlement.",World
Live Updates: Trump-Kim Summit Ends with Promise to Suspend Military Exercises,"President Trump said “war games” on the Korean Peninsula would stop, catching the Pentagon and South Korea off guard, after meeting with North Korea’s leader, Kim Jong-un.",World
Live Updates: Trump-Kim Summit Ends with Promise to Suspend Military Exercises,"President Trump said “war games” on the Korean Peninsula would stop, catching the Pentagon and South Korea off guard, after meeting with North Korea’s leader, Kim Jong-un.",World
"Pedro Sánchez, Spain’s New Leader, Returns From the Political Wilderness","Mr. Sánchez, once ousted from control of his Socialist party, regained its leadership and orchestrated the removal of Mariano Rajoy as prime minister.",World
Saudi Arabia Names New Ministers Close to Powerful Crown Prince,The new ministers will help push the crown prince’s efforts to diversify the economy away from oil and make life more enjoyable for ordinary citizens.,World
"On the High Seas, Keeping Vigil for an Unwanted Minority",No country is eager to take in the Rohingya. That indifference means more suffering and death for Myanmar’s Muslim ethnic group.,World
Canceling of Trump-Kim Meeting Upends Asia but Could Help China,"The move will disappoint some allies in Asia, hearten others and perhaps put China in the strongest position of all. Much will depend on how North Korea reacts.",World
Liège Gunman and 3 Victims Reported Dead in Belgium Shooting,Prosecutors said the attack in the eastern Belgian industrial city was being investigated as terrorism.,World
"Ireland Abortion Vote: ‘It’s Not a Man’s Issue,’ but Male Turnout Is Crucial",Women are expected to vote in greater numbers in Friday’s referendum. But turnout among male Irish voters — who tend to consider abortion a women’s issue — may be critical.,World
Vietnamese Protest an Opening for Chinese Territorial Interests,"Already upset over Chinese claims in the region, demonstrators were protesting economic zones that would allow long leases to foreigners. At least 100 were arrested.",World
Vietnamese Protest an Opening for Chinese Territorial Interests,"Already upset over Chinese claims in the region, demonstrators were protesting economic zones that would allow long leases to foreigners. At least 100 were arrested.",World
"Trump-Kim Summit Meeting Is a ‘99.9% Done Deal,’ South Korea Says",South Korea moved to confront growing doubts about whether the meeting between President Trump and Kim Jong-un would actually take place.,World
122 Pregnant Whales Were Killed in Japan’s Latest Hunt. Was This Illegal?,Conservationists said the International Whaling Commission data was further evidence that Japan was killing whales for commercial purposes under the guise of scientific research.,World
U.N. Report Left Out Damning Details on Syria Chemical Attack,An early draft of the report on the recapture of rebel-held Damascus suburbs contained information about chemical attacks omitted from the final version.,World
"Trump Will Meet Queen Elizabeth II Next Month, His Ambassador Says","The encounter will occur during a long-delayed “working visit” by the president, who is deeply unpopular in Britain.",World
On Mexico’s Migrant Trail: Confusion and Tough Choices,"As word of the Trump administration’s “zero tolerance” policy reached migrants, some reconsidered their trips but others pressed on amid the possibility of a policy change.",World
Good News for Women With Breast Cancer: Many Don’t Need Chemo,"Many women with early-stage forms of the disease can forego chemo, based on a test that measures the activity of genes involved in breast cancer recurrence.",Health
New Cancer Treatments Lie Hidden Under Mountains of Paperwork,Guideposts to powerful treatments may be buried in the nation’s medical records. But there is no easy way to gather those records or to get them into a usable format.,Health
Secrets of the Y Chromosome,"It’s not just what makes males into males. The sex chromosome also influences health in hidden ways, some experts believe, and may even explain why men have shorter life spans.",Health
Secrets of the Y Chromosome,"It’s not just what makes males into males. The sex chromosome also influences health in hidden ways, some experts believe, and may even explain why men have shorter life spans.",Health
Origins of an Epidemic: Purdue Pharma Knew Its Opioids Were Widely Abused,"A confidential Justice Department report found the company was aware early on that OxyContin was being crushed and snorted for its powerful narcotic, but continued to promote it as less addictive.",Health
Is It a Migraine? Many Patients Don’t Realize What Causes Their Suffering,"Here’s a guide to help you recognize the symptoms of migraines, understand why the signs are so often missed, and think about treatment options.",Health
It Was Supposed to Be an Unbiased Study of Drinking. They Wanted to Call It ‘Cheers.’,Buried in a new N.I.H. report are disturbing examples of coordination between scientists and the alcohol industry on a study that could have changed America’s drinking habits.,Health
Morgan Freeman Is Accused of Sexual Harassment by Several Women,"The women told CNN that he inappropriately touched or spoke to them on set, during publicity events and at his production company. He issued an apology.",Movies
Review: ‘Jurassic World: Fallen Kingdom’ Brings the Gang Back. Sigh.,"Extinction is not an option, but exhaustion is a distinct possibility.",Movies
N.B.A. Finals Round Table: Does LeBron James Have a Chance?,"Our experts weigh in on several N.B.A. finals topics. What’s at stake? How do the Cavaliers keep it close? If the Warriors win, is it a problem?",Sports
"Trump Pardons Jack Johnson, Heavyweight Boxing Champion","Decades after Johnson was convicted under the Mann Act, his case drew significant attention as a gross miscarriage of justice.",Sports
N.F.L.’s Alternate ‘Cheerleaders’ Don’t Cheer or Dance,"Noncheering cheerleaders are hired on looks and dressed like cheerleaders, but their primary job is to charm the team’s fans.",Sports
Triple Jeopardy in College Sexual Assault Case Ends an N.F.L. Career,"Keith Mumphery was twice cleared of an alleged sexual assault. Then he was tried a third time, without even knowing it. And then his life collapsed.",Sports
How 3 Letters From Trump Might Help Bring the 2026 World Cup to the U.S.,"Three previously undisclosed letters from President Trump to FIFA have reassured the organization’s members that all fans and teams would be welcome, regardless of American immigration policy.",Sports
How 3 Letters From Trump Might Help Bring the 2026 World Cup to the U.S.,"Three previously undisclosed letters from President Trump to FIFA have reassured the organization’s members that all fans and teams would be welcome, regardless of American immigration policy.",Sports
David Quinn Comes to the Rangers With a Gift for Developing Young Players,Quinn’s tenure at Boston University was marked by the string of highly touted prospects that came through his system.,Sports
The Best Coach in the Bay Area Breaks Down the Warriors’ Breakdown,"“I might lose my lunch,” Sue Phillips, who runs a juggernaut of a high school basketball program, said as she watched Golden State crumble in Game 4.",Sports
"Tiger Woods Soars at the Memorial, Except on the Greens","Woods will enter Sunday’s final round five strokes behind the leader, 24-year-old Bryson DeChambeau.",Sports
"Justin Verlander’s Mind Has Aged, but His Fastball Has Not","At 35, the Houston Astros’ ace should be relying more on wits than physical tools, but Verlander seems to have full control of both.",Sports
"Missed in Coverage of Jack Johnson, the Racism Around Him","A look at The Times’s coverage of Johnson, who in 1908 became the first black boxer to win the heavyweight title, reveals harsh, often racially coded attitudes.",Sports
The Infamous Sochi Drug-Testing Lab Is Now a Gastro Pub,World Cup fans are eating and drinking in the building that was home to the scheme that corrupted the 2014 Winter Olympics.,Sports
"Spain Beats Iran, as Coach of Seven Days Tops Coach of Seven Years","In a slightly dizzy version of the coaching carousel, Spain’s Fernando Hierro met up on Wednesday with Iran’s Carlos Queiroz. Hierro prevailed, just barely.",Sports
Spain Lucky to Escape With 1-0 Victory Over Iran,A deflection off Diego Costa early in the second half proved the difference in both teams’ second game of the tournament.,Sports
Place 16 of 52: The Arts Are Flourishing in Cincinnati,"From public murals to renovated concert halls, our columnist found a city bursting with cultural options. Here’s what you need to know to experience it for yourself.",Travel
Place 16 of 52: The Arts Are Flourishing in Cincinnati,"From public murals to renovated concert halls, our columnist found a city bursting with cultural options. Here’s what you need to know to experience it for yourself.",Travel
Searching for Dinosaurs in a Seaside English Town,"A novice fossil hunter immerses himself in the local pastime in the town of Lyme Regis in southwest England, an area that sits on a 95-mile stretch of shoreline known as the Jurassic Coast, a Unesco World Heritage site.",Travel
"Colliders, Sundials and Wonder: When Science Is Your Destination","At CERN in Switzerland and Fermilab in Illinois, there is always a sense of discovery — about the past, present and future.",Travel
"Your Recycling Gets Recycled, Right? Maybe, or Maybe Not",Plastics and papers from dozens of American cities and towns are being dumped in landfills after China stopped recycling most “foreign garbage.”,Climate
Hurricane Season’s Around the Corner. Here’s What to Expect.,"The season begins June 1 and experts predict it will be near normal or above normal, but a single storm can cause tremendous damage if it makes landfall.",Climate
E.P.A. Takes a Major Step to Roll Back Clean Car Rules,"The Trump administration formally submitted its plan to permit more tailpipe emissions, moving closer to a legal clash that could split the nation’s auto market.",Climate
6 Things You’re Recycling Wrong,"Can you recycle coffee cups or greasy pizza boxes? If you’re tossing things in the recycling bin out of sheer hope, you might be an “aspirational recycler.”",Climate
6 Things You’re Recycling Wrong,"Can you recycle coffee cups or greasy pizza boxes? If you’re tossing things in the recycling bin out of sheer hope, you might be an “aspirational recycler.”",Climate
Trump v. the Department of Justice,President Trump and his enablers in Congress and the right-wing media are engaged in a dangerous campaign to undermine the foundations of American justice.,Opinion
Is the United States Losing Its Humanity?,The Trump administration’s approach to refugee aid is eroding our moral standing in the world.,Opinion
"Ovechkin, Babchenko and the Politics of Russian Hockey",Are they all related? Yes. No. Maybe.,Opinion
What’s the Matter With Europe?,A discredited elite and dark forces rising. Sound familiar?,Opinion
Mourning My White Husband in the Age of Trump,I grieve for Alan and for the clarity he brought to the issue of race not just as my husband but as a white man in America.,Opinion
The Men Who Terrorize Rio,"Ruthless mafia-like militias have taken over much of the Brazilian city, killing whomever they want, from City Council members to bird thieves.",Opinion
Trump’s Manchurian Trade Policy,"Using phony national security arguments against allies, ignoring real threats from dictatorships.",Opinion
The Rise of the Muslim Woman Tech Entrepreneur,"Across the Muslim world, a new generation is poised to make an outsized impact on their countries’ prosperity.",Opinion
The Californization of America,"Increasingly, the state sets the national agenda. But in the age of Trump, will its progressive politics unite or divide?",Opinion
Trump Gushes Over North Korea,The rest of the world holds its breath.,Opinion
Trump Gushes Over North Korea,The rest of the world holds its breath.,Opinion
Earth Will Survive. We May Not.,The biosphere will handle pretty much anything we throw at it. Where that leaves humans is a different question.,Opinion
Earth Will Survive. We May Not.,The biosphere will handle pretty much anything we throw at it. Where that leaves humans is a different question.,Opinion
Was Slavery a Factor in the Second Amendment?,"The formation of what many call a “safeguard against tyranny” was, in part, a way to preserve the slave system.",Opinion
Trump Was Outfoxed in Singapore,"The United States made important concessions to North Korea, and got nothing tangible.",Opinion
Trump Was Outfoxed in Singapore,"The United States made important concessions to North Korea, and got nothing tangible.",Opinion
Would You Go to a Republican Doctor?,Our political leanings distort our assessment of unrelated expertise.,Opinion
Turmoil for Turkey’s Trump,"Incompetence at the top doesn’t really matter, until it does.",Opinion
"The 1,500 ‘Missing’ Kids Are the Lucky Ones",Trump doesn’t want to protect immigrant children. He wants to lock them up.,Opinion
Obama – Just Too Good for Us,Former President Obama muses: Was he wrong? Or was he merely wrong for being right?,Opinion
Conservatives Fail the N.F.L.’s Free Speech Test,I love the flag. I love liberty more.,Opinion
"As Population Growth Slows, Populism Surges","Rural areas are losing residents, and they are turning to politicians who promise to restore the stature of “common people.”",Opinion
The Strange Failure of the Educated Elite,The flaw in boomer leadership.,Opinion
Trump and Kim Have Just Walked Us Back From the Brink of War,Don’t scoff. The Singapore summit is a first step toward peace.,Opinion
Trump and Kim Have Just Walked Us Back From the Brink of War,Don’t scoff. The Singapore summit is a first step toward peace.,Opinion
The Chutzpah of These Men,Mario Batali. Charlie Rose. Welcome to the “not so fast” phase of the #MeToo movement.,Opinion
Will FIFA Force Russia to Make the World Cup Friendly to L.G.B.T. People?,"If FIFA fails to enforce its own rules, corporate sponsors should act.",Opinion
Sex and Gender on the Christian Campus,A modest but meaningful revolt against traditional gender roles is brewing in some seemingly unlikely places.,Opinion
What Happens When a Journalist Comes Back From the Dead,"Thanks to Arkady Babchenko’s stunt, dismissing fake news just became a whole lot harder in Russia.",Opinion
What Moral Heroes Are Made Of,What traits do those dedicated to improving society share?,Opinion
First They Came for the Migrants,"Authoritarianism can happen here. For some, it already has.",Opinion
First They Came for the Migrants,"Authoritarianism can happen here. For some, it already has.",Opinion
"A Burger, Please: Hold the Tetracycline",The F.D.A. banned the use of antibiotics for growth promotion in animals last year. One organic cattle farmer is sure the ban is being flouted.,Opinion
"Data Subjects of the World, Unite!",The European Union’s new data privacy law represents a novel kind of “algorithmic citizenship.”,Opinion
Neal Katyal: Can’t Indict a President? That Could Hurt Trump,Rudolph Giuliani’s assertion would mean the president must testify.,Opinion
Neal Katyal: Can’t Indict a President? That Could Hurt Trump,Rudolph Giuliani’s assertion would mean the president must testify.,Opinion
"The Millionaires Are Fleeing. Maybe You Should, Too.",Wealthy people are often the first to ship their money to safer havens abroad. That can be a leading indicator of when a country is in trouble.,Opinion
No One Really Understands the South,"Will it turn purple in November? To figure it out, we have to let go of some Southern stereotypes.",Opinion
Trump’s Relationship With North Korea Just Got More Dangerous,The cancellation of the meeting with Kim Jong-un creates a risk that President Trump will revert to military options.,Opinion
"1,475 Missing Immigrant Children",That story isn’t quite what it seems. But another new immigration policy is cause for alarm.,Opinion
Why Being a Foster Child Made Me a Conservative,My experiences forced me to reflect on what environments are best for children. Certainly not the ones I came from.,Opinion
Stop Giving Trump the Benefit of the Doubt,The Korean summit meeting is a mess. Just like everything else.,Opinion
What Happens When Abortion Is Banned?,It turns out that the outcome isn’t what anyone is looking for.,Opinion
The Christian Right Adopts a 50-State Strategy,Pro-Trump evangelicals and their allies want to build a “great red wall” to keep Democrats out of power. California is high on their list of targets.,Opinion
How the Government Can Lower Drug Prices,A form of eminent domain for patents can let Washington make lifesaving medications widely available.,Opinion
The King and Queen of Cruelty,Melania and Donald Trump are in this terror together.,Opinion
Andrew Cuomo: A Moral Outrage New York Will Not Tolerate,These immigrant children shouldn’t be in facilities here or anywhere else. They should be with their parents.,Opinion
Scientists See Promise in Resurrecting These Rhinos That Are Nearly Extinct,"Even if the technology can bring back the northern white rhinoceros, should we do it?",Science
Coyotes Conquered North America. Now They’re Heading South.,"New maps seek to update the historical range of our continent’s toughest canids, which have thrived as other predators experienced decline.",Science
Lanternflies Eat Everything in Sight. The U.S. Is Looking Delicious.,"The invasive insects turned up in Pennsylvania in 2014. Now the state has placed 3,000 square miles under quarantine, and scientists worry the pest will spread.",Science
Kilauea Volcano’s Lava Fields Offer Scientists a Portal to Mars,Scientists are studying the Hawaiian volcano as part of a NASA-led project to answer questions like how life on Mars could have developed — if it ever did.,Science
"How Universities Deal With Sexual Harassment Needs Sweeping Change, Panel Says","Current policies and programs have failed overwhelmingly to address and prevent the problem, said a report from the National Academies of Sciences, Engineering and Medicine.",Science
"How Universities Deal With Sexual Harassment Needs Sweeping Change, Panel Says","Current policies and programs have failed overwhelmingly to address and prevent the problem, said a report from the National Academies of Sciences, Engineering and Medicine.",Science
"Alien Asteroids Are Here, Scientists Say. Get Used to Them.",An asteroid that cohabits an orbit with Jupiter came from outside the solar system.,Science
"Every 202,500 Years, Earth Wanders in a New Direction",The planet’s orbit alternates from elliptical to almost perfectly circular — and has for hundreds of millions of years.,Science
Breathe Deep: How the Antarctic Sea Spider Gets Oxygen,"They don’t have lungs or gills, and they are encased in hard exoskeletons. But somehow these marine creepers are getting oxygen from the water.",Science
Big Discovery in a Tiny Mammal-Like Skull Found Under a Dinosaur’s Foot,"Paleontologists found a 130 million-year-old haramiyid fossil in Utah, suggesting that the ancient relatives of modern mammals spread farther across the globe than thought.",Science
The Thing Inside Your Cells That Might Determine How Long You Live,"You may have forgotten about the nucleolus since you took biology class, but scientists think this structure inside every cell in your body may play an important role in aging.",Science
Manhattanhenge 2018: When and Where to Watch,You might get a chance to take “the best sunset picture of the year” this week in New York.,Science
"Ladybugs, Aphids and the Toxic Combat That Might Be Happening in Your Garden","Some invasive ladybugs feast on other species of ladybugs, but not as much when a kind of toxic aphid is around.",Science
"Taking Photos Won’t Take You Out of the Moment, Study Suggests","Tempted to grab that once-in-a-lifetime eclipse snapshot? Feel free: Taking pictures helps people engage with and remember experiences more deeply, according to new research.",Science
The Elephant’s Superb Nose,"Elephants’ trunks are not only large and strong, they house one of the best mammalian smelling systems.",Science
The Summer Solstice and the Search for Life in the Cosmos,"As you mark the longest day of the year, consider the debate among astronomers over whether Earth’s tilt toward the sun helps make life on our world and others possible.",Science
Finding Drama in Solitary Confinement,"The journalist Can Dundar wrote the book “We Are Arrested” while imprisoned in Turkey. Now, Britain’s Royal Shakespeare Company has turned it into a play.",Theater
Ding. Hiss. Chirp. Broadway’s Best Sounds (Other Than the Songs).,The Tony Award for best sound design is back after a several-year hiatus. We speak to the five nominees in the play category.,Theater
"North Korea, Mueller, N.B.A.: Your Weekend Briefing",Here’s what you need to know about the week’s top stories.,Briefing
"North Korea, Mueller, N.B.A.: Your Weekend Briefing",Here’s what you need to know about the week’s top stories.,Briefing
"North Korea, Malaysia Airlines, Deutsche Bank: Your Friday Briefing",Here’s what you need to know to start your day.,Briefing
"China, North Korea, Pope Francis: Your Tuesday Briefing",Here’s what you need to know to start your day.,Briefing
"Donald Trump, Primary Elections, Santa Fe: Your Tuesday Briefing",Here’s what you need to know to start your day.,Briefing
"North Korea, Amazon, World Cup: Your Friday Briefing",Here’s what you need to know to start your day.,Briefing
"Obama, Gina Haspel, Texas: Your Monday Evening Briefing",Here’s what you need to know at the end of the day.,Briefing
"The Week in Good News: Paris Spider-Man, Mosul, ‘Manhattanhenge’",Sometimes it seems as if we’re living under a constant barrage of heavy news. But it isn’t all bad out there.,Briefing
"North Korea, Net Neutrality, New York City: Your Tuesday Briefing",Here’s what you need to know to start your day.,Briefing
"Family Separations, Syria, Disney: Your Wednesday Evening Briefing",Here’s what you need to know at the end of the day.,Briefing
"Border Children, North Korea, Global Trade: Your Thursday Briefing",Here’s what you need to know to start your day.,Briefing
How Boots Riley Infiltrated Hollywood,The cult indie rapper smuggled his radical anticapitalism into his biting new film ‘Sorry to Bother You.’,Magazine
The Risky Business of Speaking for President Trump,Flacks in this White House press office are getting enormous exposure — but potentially at a long-term cost to their credibility.,Magazine
Had Two Diseases Struck at Once?,Extreme fatigue and muscle pain led to one diagnosis. Enlarged lymph nodes led to another.,Magazine
The Corporate Delivery Pie You Secretly Love — but Better,"A honeyed and tomato-rich sauce topped with pepperoni releases its ruddy grease, acting like threads of saffron in a paella.",Magazine
The Strange Case of the Missing Joyce Scholar,"Two decades ago, a renowned professor promised to produce a flawless version of one of the 20th century’s most celebrated novels: “Ulysses.” Then he disappeared.",Magazine
The Strange Case of the Missing Joyce Scholar,"Two decades ago, a renowned professor promised to produce a flawless version of one of the 20th century’s most celebrated novels: “Ulysses.” Then he disappeared.",Magazine
Letter of Recommendation: Asteroid Day,It is the one holiday that grants permission to indulge in a spectacle of imagined global catastrophe.,Magazine
How One Conservative Think Tank Is Stocking Trump’s Government,"By placing its people throughout the administration, the Heritage Foundation has succeeded in furthering its right-wing agenda.",Magazine
$1 Billion in Repairs on Tap for New York City’s Public Housing,"Along with the repairs, a federal monitor would oversee the New York City Housing Authority as part of a consent decree being finalized by the Justice Department.",New York
What You Need to Know as a New York Tenant,The city’s housing system can be complicated to navigate. Here’s a quick primer on what your rights are and how to exercise them.,New York
"Train Delays, the New Subway Plan and the Perception of Time",Officials are hoping riders will accept more time with no service in return for less time stuck on trains.,New York
Survivor of Halloween Terror Attack Says She Will Not Be a Victim,"Rachel Pharn, 26, was sideswiped by a pickup truck in the October attack on a Manhattan bicycle path that left eight people dead and 11 others injured.",New York
"Once-Thriving City Nonprofit Sputters Under Mayor’s Wife, Chirlane McCray","New York’s first lady, Chirlane McCray, is chairwoman of the Mayor’s Fund, but her focus is often elsewhere and fund-raising at the nonprofit has slowed.",New York
M.T.A. Plan to Upgrade Subways Is Ambitious. But Is It Even Possible?,The subway overhaul plan calls for installing new signals on five lines in five years — a difficult task based on New York’s poor track record on signals.,New York
M.T.A. Plan to Upgrade Subways Is Ambitious. But Is It Even Possible?,The subway overhaul plan calls for installing new signals on five lines in five years — a difficult task based on New York’s poor track record on signals.,New York
Harvey Weinstein’s Accusers React: ‘I Have a Visceral Need for Him to Have Handcuffs On’,"Rose McGowan, Asia Argento, Mira Sorvino, Annabella Sciorra and others expressed satisfaction and relief as Mr. Weinstein was arrested.",New York
Harvey Weinstein Facing Arrest in New York Following Sex Assault Inquiry,Investigators in Manhattan were preparing to charge the disgraced movie producer as early as Friday.,New York
De Blasio Proposes Changes to New York’s Elite High Schools,The city will reserve 20 percent of seats at specialized schools for certain poor students and ask the state to eliminate the admissions test.,New York
"From the E.R. to the Garden, M.T.A. Chief Holds Unusually Powerful Perch","The man tapped to resuscitate the subway also quietly helps run several other institutions, creating a web of potential conflicts. In 2017, he made $2.5 million in private income.",New York
"Mayor de Blasio’s Emails, Uncensored and Unforgiving","A trove of City Hall emails, released under court order, shows a mayor sensitive to news media criticism and quick to lash out at aides.",New York
"Arrested on Rape Charges, Weinstein Posts $1 Million Bail",Harvey Weinstein presented his passport and a $1 million cashier’s check after he was arraigned on rape and criminal sex act charges involving two women.,New York
New York Today: Barbecue Dos and Don’ts,"Tuesday: Grilling rules, upcoming TimesTalks, and a floating glassblowing studio.",New York
Giuliani Promised a Surprise Before the Election. Comey Delivered One.,Mr. Giuliani’s statements ahead of the 2016 election have led senators to ask the F.B.I. director if a pipeline exists between the bureau and the president’s lawyer.,New York
Hundreds of Separated Children Have Quietly Been Sent to New York,The federal government would not tell city officials exactly how many children had been moved to New York or where they were being housed.,New York
10 Great Titles Expiring From Netflix in June,"Every month, Netflix loses a handful of great movies and TV series, and June is no exception. These are the ones we’re most sorry to see go.",Watching
"Dovey Johnson Roundtree, Barrier-Breaking Lawyer, Dies at 104","Though little recognized, Ms. Roundtree won advances for black people and women at the bar of justice, challenging the Jim Crow society she knew too well.",Obituaries
"Dovey Johnson Roundtree, Barrier-Breaking Lawyer, Dies at 104","Though little recognized, Ms. Roundtree won advances for black people and women at the bar of justice, challenging the Jim Crow society she knew too well.",Obituaries
"Zhao Kangmin, Restorer of China’s Ancient Terra-Cotta Warriors, Dies at 81","The reconstruction of an underground army, one of China’s greatest treasures, would become an archaeologist’s crowning achievement.",Obituaries
"Robert Indiana, 89, Who Turned ‘Love’ Into Enduring Art, Is Dead","Mr. Indiana’s depiction of the letters L, O, V and E was one of the best-known images of the 20th century, widely reproduced but also widely imitated.",Obituaries
"Irving Sandler, Art Historian Who Was Close to Artists, Dies at 92",Mr. Sandler drew on his relationships with artists in the New York City scene of the 1950s and ′60s in compiling authoritative histories.,Obituaries
"Will Alsop, Architectural Provocateur, Is Dead at 70","Mr. Alsop, one of whose designs was called “courageous, bold and just a little insane,” believed that architects had a calling to inspire the public.",Obituaries
"Dr. Adel Mahmoud, Who Was Credited With HPV and Rotavirus Vaccines, Dies at 76","As president of Merck Vaccines, Dr. Mahmoud overcame doubts in developing vaccines against two threats to women and babies: HPV and rotavirus.",Obituaries
"In His Paris Apartment, Alexis Mabille Creates a Singular Universe","Known for his frothy, extravagant gowns, the couture designer has made his own a post-Revolution fantasy on the Right Bank.",T Magazine
"A Brief History of Gay Theater, in Three Acts",On the return of ‘The Boys in the Band’ and why it matters more than ever.,T Magazine
"The Ancient Art of Jaipur Block Printing, and What It Means to India","There are some traditions that are universal. Here, we highlight a single craft — and how it’s being adapted, rethought and remade for the 21st century.",T Magazine
Why Have There Been No Great Black Art Dealers?,How a small but influential group of black gallerists is correcting history.,T Magazine
Metrics Are Everywhere in Media. Here’s How They Help.,"Kathy Zhang, a newsroom and product analytics manager at The Times, discusses how analytics tools help her better serve readers.",Technology
‘I Don’t Feel Superhuman. I Feel Like a Mom Who Has a Career.’,"Rebecca Slaughter, a new commissioner at the F.T.C., brings her infant to work in Washington, a city whose work culture has been stubbornly slow to change.",Technology
How Technology Is Changing Visual Art,"Minh Uong, a visual editor at The Times, uses both low- and high-tech tools to create editorial art, but tech does not necessarily make it easier to become a professional illustrator.",Technology
"Big Day for AT&T, Time Warner and U.S. as Court Rules in Antitrust Case",The AT&T-Time Warner antitrust ruling will be watched by corporate bosses and investment bankers for signs of how mergers will be able to proceed in years to come.,Technology
"Big Day for AT&T, Time Warner and U.S. as Court Rules in Antitrust Case",The AT&T-Time Warner antitrust ruling will be watched by corporate bosses and investment bankers for signs of how mergers will be able to proceed in years to come.,Technology
Ireland’s Abortion Referendum Becomes a Test for Facebook and Google,Major tech companies took steps to prevent foreign meddling online before voters in Ireland cast ballots on Friday. Here’s how those efforts are working out.,Technology
How Net Neutrality Actually Ended Long Before This Week,"The internet was supposed to operate outside communications monopolies. Now it is run by giants — and net neutrality didn’t stand a chance, our tech columnist says.",Technology
How Net Neutrality Actually Ended Long Before This Week,"The internet was supposed to operate outside communications monopolies. Now it is run by giants — and net neutrality didn’t stand a chance, our tech columnist says.",Technology
Firefox Is Back. It’s Time to Give It a Try.,Mozilla redesigned its browser to take on Google’s Chrome. Firefox now has strong privacy features and is as fast as Chrome.,Technology
Instagram Allows Longer Videos in Challenge to YouTube,The social media service said a new video hub called IGTV would allow users to post videos up to an hour in length.,Technology
The Next Great American Public Health Campaign? Readers Make Their Picks,We asked which public health intervention was most needed in this era.,The Upshot
The Largest Health Disparity We Don’t Talk About,Americans with serious mental illnesses die 15 to 30 years earlier than those without.,The Upshot
What Barbershops Can Teach About Delivering Health Care,One reason that an experiment to reduce high blood pressure in a high-risk population succeeded is that it adapted its approach to encourage trust.,The Upshot
The Economy Can Handle Steel and Aluminum Tariffs. The Real Risk Is Erratic Policy.,The near-term costs of steel and aluminum tariffs are manageable; the longer-term costs of potential trade wars with the entire world are greater,The Upshot
Why Groups of 3 Will Ruin the World Cup (So Enjoy This One),"Unless FIFA changes course, the risk of collusion will be much higher in future Cups.",The Upshot
Why Groups of 3 Will Ruin the World Cup (So Enjoy This One),"Unless FIFA changes course, the risk of collusion will be much higher in future Cups.",The Upshot
A 4-Step Guide to Ranting Productively,"Sometimes, you have a physical need to cut loose. Tell it like it is. Yell. Scream. So be it. Maybe what you really need, though, is a ranting buddy.",Your Money
